date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:14	124371/124371	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-1e5d3%22	https://htmlstream.com/preview/front-v4.3.1/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/index.html	(from )
12:45:15	24/24	---M--	200	added ('OK')	text/plain	etag:%2258ae5ff2-18%22	https://htmlstream.com/robots.txt		(from )
12:45:15	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%226208fb9e-1536%22	https://htmlstream.com/preview/front-v4.3.1/favicon.ico	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/favicon.ico	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:15	71082/71082	---M--	200	added ('OK')	text/css	etag:%22635e8773-115aa%22	https://htmlstream.com/preview/front-v4.3.1/assets/css/vendor.min.css	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/css/vendor.min.css	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:16	88585/88585	---M--	200	added ('OK')	text/css	etag:%22635e8770-15a09%22	https://htmlstream.com/preview/front-v4.3.1/assets/vendor/bootstrap-icons/font/bootstrap-icons.css	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/vendor/bootstrap-icons/font/bootstrap-icons.css	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:16	26053/26053	---M--	200	added ('OK')	text/css	etag:%22635e8771-65c5%22	https://htmlstream.com/preview/front-v4.3.1/assets/vendor/aos/dist/aos.css	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/vendor/aos/dist/aos.css	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:16	83942/83942	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-147e6%22	https://htmlstream.com/preview/front-v4.3.1/demo-real-estate/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/demo-real-estate/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:16	62721/62721	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-f501%22	https://htmlstream.com/preview/front-v4.3.1/demo-jobs/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/demo-jobs/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:16	94600/94600	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-17188%22	https://htmlstream.com/preview/front-v4.3.1/demo-course/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/demo-course/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:17	526164/526164	---M--	200	added ('OK')	text/css	etag:%22635f1668-80754%22	https://htmlstream.com/preview/front-v4.3.1/assets/css/theme.min.css?v=1.0	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/css/theme.minc619.css	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:17	91049/91049	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-163a9%22	https://htmlstream.com/preview/front-v4.3.1/demo-shop/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/demo-shop/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:17	77279/77279	---MCZ	200	added ('OK')	text/html	etag:W/%2262e667c9-12ddf%22	https://htmlstream.com/preview/front-v4.3.1/demo-app-marketplace/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/demo-app-marketplace/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:17	71026/71026	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-11572%22	https://htmlstream.com/preview/front-v4.3.1/demo-help-desk/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/demo-help-desk/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:17	67857/67857	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10911%22	https://htmlstream.com/preview/front-v4.3.1/documentation/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/documentation/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:17	47949/47949	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-bb4d%22	https://htmlstream.com/preview/front-v4.3.1/snippets/index.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/snippets/index.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:18	2121/2121	---M--	200	added ('OK')	image/svg+xml	etag:%226208fb9e-849%22	https://htmlstream.com/preview/front-v4.3.1/assets/svg/logos/logo.svg	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/svg/logos/logo.svg	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:18	4876/4876	---M--	200	added ('OK')	image/svg+xml	etag:%226208fb9e-130c%22	https://htmlstream.com/preview/front-v4.3.1/assets/svg/components/shape-3.svg	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/svg/components/shape-3.svg	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:18	75286/75286	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-12616%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-corporate.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-corporate.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:18	76850/76850	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-12c32%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-analytics.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-analytics.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:19	73893/73893	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-120a5%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-studio.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-studio.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:19	88003/88003	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-157c3%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-marketing.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-marketing.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
